,Delta_T1_i^k+1,T1_i-1^k,T1_i^k,Delta_T1_i^k,m_flow^k,T_in^k,v^k,t_samples,x_samples
0,-0.12281999999999016,311.44237999999996,311.385,-0.05737999999996646,12.618144000000001,313.42312999999996,1.6137149,992,27
1,0.16727999999994836,321.98062000000004,321.47342000000003,-0.5072000000000116,11.53262,322.4767,1.4748888999999998,205,1
2,0.2843599999999924,316.62964,315.92258,-0.7070600000000127,11.060080000000001,314.8709,1.4144565,997,17
3,-0.1420800000000213,309.8328,309.82648,-0.006320000000016535,13.62425,314.144,1.7423843,169,29
4,0.012049999999987904,311.7452,311.55585,-0.18934999999999036,13.685820000000001,313.8624,1.7502582999999998,167,8
5,-0.08477000000004864,315.6542,315.5158,-0.1383999999999901,11.567883,313.75427,1.4793986000000001,409,29
6,0.1319599999999923,315.36804,314.88116,-0.4868799999999851,9.831961999999999,322.1734,1.2573944,224,20
7,0.133329999999944,305.55945,305.28952000000004,-0.269929999999988,13.8303995,321.66397,1.7687484,832,46
8,0.10293000000001484,312.5016,311.94324,-0.5583599999999933,7.5200877,319.6808,0.9617324,477,21
9,0.2554499999999962,313.84463999999997,312.83075,-1.0138899999999467,6.000066,322.51788,0.76733917,869,6
10,0.5730399999999349,312.14797999999996,311.35900000000004,-0.7889799999999241,13.801787,314.41677999999996,1.7650893,518,29
11,-0.28237000000001444,309.9481,310.1162,0.16809999999998126,13.39989,321.0338,1.7136912,363,27
12,-0.053009999999972024,307.45016,307.23248,-0.217679999999973,6.045683400000001,321.15115,0.7731731,871,47
13,-0.23545000000001437,313.3911,313.44083,0.04973000000001093,13.968708,319.78806000000003,1.7864363999999997,527,25
14,-0.2536000000000058,311.47238,311.5951,0.12272000000001526,13.988547,321.89102,1.7889737000000001,741,21
15,-0.1050199999999677,311.5785,311.51932,-0.05918000000002621,13.923053,313.15,1.7805977,156,46
16,-0.7359000000000151,314.44922,315.13443,0.6852099999999837,13.706570000000001,313.77213,1.7529119999999998,913,6
17,-0.25033999999999423,314.7946,314.93784,0.1432399999999916,7.8412933,323.1436,1.0028108,771,22
18,0.21680000000003474,309.88718,309.38522,-0.5019599999999969,11.355738,322.75824,1.4522678,661,40
19,-0.013620000000003074,315.19907,314.9242,-0.27487000000002126,12.603917,317.13675,1.6118953999999999,727,15
20,0.3262699999999654,315.66247999999996,315.05496,-0.6075199999999654,13.392586999999999,313.16677999999996,1.7127572,513,21
21,0.11422999999996364,312.2905,311.95425,-0.3362500000000068,12.245355,315.7307,1.5660396,351,6
22,0.07625000000001592,311.65164,311.3813,-0.27033999999997604,13.692626,318.17514,1.7511288,120,49
23,0.013829999999984466,317.19742,316.8337,-0.3637200000000007,8.600434,318.61922999999996,1.0998963,237,18
24,0.11838000000000193,309.79352,309.42798,-0.36554000000000997,12.402068,321.257,1.5860813,543,47
25,-0.0685600000000477,317.66287,317.5248,-0.1380699999999706,13.595729,318.95673,1.7387366999999998,116,20
